iter	RMSE
0	0.4911729119
1	0.4804163342
2	0.4705743912
3	0.4621483356
4	0.4549544008
5	0.448684609
6	0.4427932769
7	0.4374549792
8	0.4330613616
9	0.4291187757
10	0.4254524873
11	0.4222469807
12	0.4194223105
13	0.4167459423
14	0.4145867687
15	0.4125579689
16	0.4106730118
17	0.4090013576
18	0.4075041547
19	0.4060588715
20	0.4049224918
21	0.4036674594
22	0.4026395544
23	0.4017681704
24	0.4008812712
25	0.4001596451
26	0.3994851032
27	0.3988543432
28	0.3982405196
29	0.3977408312
30	0.3972271576
31	0.3967236964
32	0.3962770248
33	0.3957950335
34	0.3953343534
35	0.3949286134
36	0.3945885777
37	0.3942528399
38	0.3939036587
39	0.3936506982
40	0.3933503227
41	0.3930649788
42	0.3927303716
43	0.3925212537
44	0.3922450833
45	0.3920051791
46	0.3918166879
47	0.3915678871
48	0.3914039684
49	0.3911900685
50	0.3909741001
51	0.3907793642
52	0.390589946
53	0.3904063884
54	0.3901932815
55	0.3900517064
56	0.3899388584
57	0.3897534979
58	0.3895267849
59	0.3893442952
60	0.3892141543
61	0.3890879471
62	0.3889337287
63	0.3888123505
64	0.3887001215
65	0.3886066889
66	0.3885119652
67	0.3884211551
68	0.3883029415
69	0.3881706982
70	0.3880591531
71	0.3879606296
72	0.3878232662
73	0.3877158579
74	0.387626219
75	0.3875402817
76	0.3874763592
77	0.3874110496
78	0.3873111098
79	0.3872265954
80	0.3871565621
81	0.3870922464
82	0.3870266934
83	0.3869207295
84	0.3868709767
85	0.386794753
86	0.3867017165
87	0.3866287575
88	0.3865443384
89	0.3864812854
90	0.3864169983
91	0.3863746108
92	0.3863228685
93	0.386272279
94	0.3862202174
95	0.3861381394
96	0.3861010714
97	0.3860342388
98	0.3859427578
99	0.3858456115
100	0.3857836926
101	0.3857083449
102	0.3856630912
103	0.3856046158
104	0.3855638183
105	0.3854766805
106	0.3854313527
107	0.3853640021
108	0.3853065606
109	0.3852327646
110	0.3851991924
111	0.3851594484
112	0.3851251876
113	0.3850767684
114	0.3850284246
115	0.384983447
116	0.384929249
117	0.3848728006
118	0.3848272159
119	0.3847614953
120	0.3847353968
121	0.3846664364
122	0.3846296104
