iter	Passed	Remaining
0	21	21190
1	31	15877
2	43	14551
3	54	13465
4	64	12764
5	73	12149
6	86	12288
7	95	11876
8	104	11539
9	113	11263
10	123	11127
11	133	10958
12	148	11279
13	158	11176
14	165	10886
15	175	10788
16	185	10741
17	196	10700
18	207	10699
19	213	10461
20	220	10289
21	227	10131
22	234	9951
23	240	9776
24	246	9616
25	252	9453
26	258	9313
27	264	9188
28	271	9076
29	277	8973
30	285	8916
31	291	8804
32	296	8690
33	303	8623
34	309	8547
35	316	8473
36	322	8402
37	329	8338
38	335	8278
39	342	8221
40	349	8177
41	357	8145
42	364	8117
43	371	8082
44	383	8128
45	391	8112
46	400	8125
47	410	8144
48	420	8160
49	429	8164
50	442	8241
51	469	8559
52	482	8627
53	500	8773
54	514	8836
55	526	8868
56	541	8956
57	554	9011
58	572	9131
59	592	9278
60	609	9389
61	621	9398
62	632	9402
63	645	9437
64	656	9442
65	668	9459
66	678	9441
67	686	9410
68	696	9393
69	704	9360
70	713	9333
71	721	9294
72	729	9268
73	738	9237
74	747	9217
75	755	9189
76	764	9166
77	772	9128
78	781	9111
79	789	9080
80	800	9077
81	807	9045
82	816	9023
83	824	8995
84	833	8969
85	840	8934
86	849	8912
87	858	8897
88	868	8887
89	877	8870
90	885	8842
91	894	8830
92	902	8805
93	911	8780
94	919	8761
95	929	8754
96	938	8740
97	948	8729
98	958	8719
99	968	8719
100	979	8721
101	989	8713
102	998	8698
103	1009	8693
104	1018	8683
105	1029	8678
106	1037	8660
107	1048	8661
108	1057	8648
109	1068	8648
110	1080	8650
111	1091	8652
112	1101	8650
113	1112	8647
114	1122	8635
115	1133	8641
116	1145	8643
117	1162	8688
118	1236	9156
119	1273	9338
120	1284	9328
121	1295	9325
122	1306	9314
123	1317	9307
124	1328	9302
125	1338	9283
126	1348	9272
127	1359	9258
128	1368	9241
129	1377	9215
130	1385	9193
131	1394	9171
132	1403	9149
133	1411	9119
134	1419	9093
135	1428	9075
136	1437	9052
137	1444	9025
138	1454	9008
139	1462	8983
140	1469	8952
141	1476	8923
142	1484	8895
143	1491	8865
144	1500	8844
145	1506	8814
146	1514	8788
147	1521	8760
148	1529	8735
149	1537	8713
150	1544	8684
151	1551	8658
152	1559	8634
153	1567	8609
154	1574	8583
155	1582	8561
156	1591	8544
157	1599	8524
158	1607	8502
159	1615	8480
160	1622	8455
161	1629	8431
162	1637	8407
163	1645	8387
164	1652	8364
165	1660	8340
166	1667	8315
167	1674	8292
168	1681	8270
169	1689	8249
170	1696	8225
171	1703	8202
172	1712	8185
173	1719	8161
174	1726	8137
175	1733	8115
176	1741	8095
177	1748	8075
178	1756	8054
179	1763	8035
180	1771	8015
181	1779	7996
182	1786	7975
183	1794	7956
184	1801	7936
185	1808	7914
186	1816	7895
187	1822	7871
188	1831	7859
189	1839	7840
190	1847	7824
191	1855	7808
192	1864	7794
193	1872	7781
194	1881	7765
195	1889	7750
196	1898	7738
197	1907	7726
198	1916	7713
199	1924	7697
200	1932	7682
201	1940	7667
202	1949	7654
203	1957	7639
204	1965	7622
205	1972	7601
206	1979	7584
207	1987	7566
208	1994	7549
209	2002	7532
210	2010	7517
